character,romaji,meaning
童謡,douyou,"children's song, nursery rhyme"
同僚,douryou,colleague; co-worker
道路,douro,road
通す,toosu,"to let pass, to overlook, to continue"
通り過ぎる,toorisugiru,"to pass, to pass through"
都会,tokai,city
溶く,toku,to dissolve (paint)
解く,toku,"to unfasten; answer, solve"
退く,doku,"to retreat, to recede, to withdraw"
毒,doku,"poison, toxicant"
得意,tokui,"pride, triumph, prosperity"
読書,dokusho,reading
独身,dokushin,"single, unmarried"
特徴,tokuchou,characteristic(s); feature(s); trait(s)
特長,tokuchou,"forte, merit"
独特,dokutoku,"peculiarity, uniqueness, characteristic"
独立,dokuritsu,"independence (e.g., Ind. Day), self-support"
溶ける,tokeru,"to melt, to thaw, to dissolve"
解ける,tokeru,"to come untied, to come apart"
どこか,dokoka,"somewhere, anywhere"
ところが,tokoroga,"however, while, even if"
ところで,tokorode,by the way; even if
登山,tozan,mountain-climbing
都市,toshi,"town, city, urban"
年月,toshitsuki,months and years
図書,tosho,books
年寄,toshiyori,"old people, the aged"
閉じる,tojiru,"to close (e.g., book, eyes), to shut"
途端,totan,"just (now, at the moment, etc.)"
土地,tochi,"plot of land, lot, soil"
突然,totsuzen,"abruptly, suddenly, unexpectedly"
トップ,toppu,top
届く,todoku,to reach
とにかく,tonikaku,"anyhow, at any rate, anyway"
飛ばす,tobasu,"to skip over, to omit"
飛び出す,tobidasu,"to jump out, to rush out, to fly out"
留める,tomeru,"to fasten, to turn off, to detain"
泊める,tomeru,to have someone stay (over night) (v.t.)
友,tomo,"friend, companion, pal"
共に,tomoni,"sharing with, participate in"
虎,tora,tiger
ドライブ,doraibu,"drive, driving"
トラック,torakku,truck; (running) track
ドラマ,dorama,drama
トランプ,torampu,playing cards (lit: trump)
取り上げる,toriageru,"to take up, to pick up; to confiscate"
努力,doryoku,"great effort, exertion, endeavor"
トレーニング,toreeningu,training
ドレス,doresu,dress
取れる,toreru,"to come off, to be taken off"
泥,doro,mud
トン,ton,ton (1000 lbs.)
とんでもない,tondemonai,"outrageous, No way!"
どんなに,donnani,"how, how much"
トンネル,tonneru,tunnel
名,na,"name, reputation"
内容,naiyou,"subject, contents, detail"
なお,nao,"still, yet"
仲,naka,"relation, relationship"
流す,nagasu,"to drain, to float, to shed (e.g., blood, tears)"
半ば,nakaba,"middle, halfway"
仲間,nakama,"company, fellow, colleague, associate"
中身,nakami,content(s); substance
中味,nakami,"contents, interior, filling"
眺め,nagame,scene; view; prospect; outlook
眺める,nagameru,"to view, to gaze at"
流れ,nagare,"stream, current"
流れる,nagareru,"to flow, to be washed away"
亡くす,nakusu,to lose someone
殴る,naguru,to strike; to hit; to punch
無し,nashi,without
なぜなら,nazenara,because
謎,nazo,"riddle, puzzle, enigma"
納得,nattoku,"consent, assent, understanding"
何か,nanika,something
なにも,nanimo,nothing
鍋,nabe,"saucepan, pot"
生,nama,"raw, unprocessed"
怠ける,namakeru,"to be idle, to neglect"
波,nami,wave
涙,namida,tear
悩む,nayamu,"to agonize, to be troubled"
鳴らす,narasu,"to ring, to sound"
為る,naru,"to change, to be of use, to reach to"
生る,naru,to bear fruit
馴れる,nareru,"to become domesticated, to become tame"
縄,nawa,rope
何で,nande,"Why, What for"
何でも,nandemo,"by all means, everything"
何とか,nantoka,"somehow, anyhow, one way or another"
似合う,niau,"to suit (a person), to match (clothing), (something) becomes (someone)"
煮える,nieru,"to boil, to cook, to be cooked"
苦手,nigate,"poor (at), weak (in), dislike (of)"
握る,nigiru,"to grasp, to seize, to mold sushi"
日,nichi,day
日常,nichijou,"ordinary, regular, everyday"
日光,nikkou,sunlight
日中,nicchuu,"daytime, broad daylight"
にっこり,nikkori,"smile sweetly, smile, grin"
日本,nippon,Japan
日本,nihon,Japan
入場,nyuujou,"entrance, admission, entering"
煮る,niru,"to boil, to cook"
人気,ninki,popularity
人間,ningen,"human being, person"
抜く,nuku,"to extract, to omit, to unplug"
抜ける,nukeru,"to come out, to fall out, to be omitted"
布,nuno,cloth
濡らす,nurasu,"to wet, to soak"
根,ne,root
値,ne,"value, price, cost"
願い,negai,"desire, wish, request"
願う,negau,"to desire, to wish, to request"
鼠,nezumi,"mouse, rat"
熱帯,nettai,tropics
熱中,necchuu,"enthusiasm, zeal, mania"
年間,nenkan,year
年月,nengetsu,months and years
年中,nenjuu,"whole year, always, everyday"
年代,nendai,"age, era, period"
年齢,nenrei,"age, years"
野,no,field
能,nou,"being skilled in, nicely, properly"
農家,nouka,"farmer, farm family"
農業,nougyou,agriculture
農民,noumin,"farmers, peasants"
能力,nouryoku,"ability, faculty"
ノー,noo,no
軒,noki,eaves
残す,nokosu,"to leave (behind, over), to save, to reserve"
残り,nokori,"remaining, left-over"
乗せる,noseru,"to place on (something), to take on board"
載せる,noseru,to place on (something); to publish
覗く,nozoku,"to peek in, to look in"
除く,nozoku,"to remove, to exclude, to except"
望み,nozomi,"wish, desire, (a) hope"
望む,nozomu,"to desire, to wish for; to view"
後,nochi,"afterwards, since then"
ノック,nokku,knock; fungo (baseball)
伸ばす,nobasu,"to extend, to stretch, to reach out"
延ばす,nobasu,"to extend, to stretch, to reach out"
伸びる,nobiru,"to extend, to make progress, to grow"
延びる,nobiru,to be prolonged
述べる,noberu,"to state, to express, to mention"
上る,noboru,"to ascend, to go up, to climb"
昇る,noboru,"to arise, to ascend, to go up"
載る,noru,"to appear (in print), to be recorded"
のんびり,nombiri,"carefree, at leisure"
場,ba,"place, field (physics)"
はあ (かん),haa (kan),(sigh)
パーセント,paasento,percent
灰,hai,ash
梅雨,baiu,rainy season
バイオリン,baiorin,violin
ハイキング,haikingu,hiking
配達,haitatsu,"delivery, distribution"
パイプ,paipu,pipe; channels official or otherwise
俳優,haiyuu,"actor, actress, performer"
パイロット,pairotto,pilot
生える,haeru,"to grow, to spring up; to cut (teeth)"
墓,haka,"grave, tomb"
馬鹿,baka,"fool, idiot"
博士,hakase,"doctorate, PhD., doctor"
計る,hakaru,"to measure, to weigh, to survey"
量る,hakaru,"to measure, to weigh, to survey"
測る,hakaru,"to measure, to weigh, to survey"
掃く,haku,"to sweep, to brush, to gather up"
吐く,haku,"to throw up, to vomit"
拍手,hakushu,"clapping hands, applause"
莫大,bakudai,"enormous, vast"
爆発,bakuhatsu,"explosion, detonation, eruption"
博物館,hakubutsukan,museum
激しい,hageshii,"violent, vehement, intense"
はさみ,hasami,scissors
破産,hasan,(personal) bankruptcy
端,hashi,"end (e.g., of street), edge, margin"
始まり,hajimari,"origin, beginning"
パス,pasu,"path, pass (in games)"
外す,hazusu,"to unfasten, to remove"
パスポート,pasupooto,passport
外れる,hazureru,"to be disconnected, to be out (e.g., of gear)"
旗,hata,flag
肌,hada,skin
裸,hadaka,"naked, nude"
畑,hatake,"field, patch"
働き,hataraki,"work, labor"
バッグ,baggu,bag
発見,hakken,"discovery, detection, finding"
発行,hakkou,issue (publications)
発車,hassha,departure of a vehicle
発射,hassha,"firing, shooting, discharge"
罰する,bassuru,"to punish, to penalize"
発達,hattatsu,"development, growth"
ばったり,battari,(to meet) by chance
発展,hatten,"development, growth, progress"
発表,happyou,announcement; publication; presentation
発明,hatsumei,invention
派手,hade,"showy, flashy, gaudy"
話し合う,hanashiau,"to discuss, to talk together"
離す,hanasu,"to part, to separate"
放す,hanasu,"to separate, to set free"
離れる,hanareru,"(something, someone) separates; parts from; to be apart"
放れる,hanareru,"to leave, to get free, to cut oneself off"
羽,hane,wing
羽根,hane,feather
幅,haba,"width, breadth"
母親,hahaoya,mother
省く,habuku,"to omit, to eliminate"
場面,bamen,"scene, setting (e.g., of novel)"
流行る,hayaru,"to be popular, to come into fashion"
腹,hara,"abdomen, belly, stomach"
原,hara,"field, plain"
バランス,baransu,balance
針,hari,"needle, hand (e.g., clock)"
範囲,hani,"extent, scope, range"
反抗,hankou,"opposition, resistance"
犯罪,hanzai,crime
ハンサム,hansamu,handsome
反省,hansei,"reflection, reconsideration, regret"
判断,handan,"judgment, decision"
犯人,hannin,"offender, criminal"
販売,hambai,"sale, selling, marketing"
灯,hi,light
ビール,biiru,beer
被害,higai,damage
比較,hikaku,comparison
ピクニック,pikunikku,picnic
悲劇,higeki,tragedy
飛行,hikou,"aviation, flight"
膝,hiza,"knee, lap"
非常,hijou,"emergency, extraordinary, unusual"
美人,bijin,beautiful person (woman)
額,hitai,"forehead, brow"
日付,hizuke,"date, dating"
引越し,hikkoshi,"moving, changing residence"
必死,hisshi,"desperation, frantic, inevitable result"
ぴったり,pittari,"exactly, neatly, sharp"
引っ張る,hipparu,"to pull, to stretch, to drag"
否定,hitei,"negation, denial"
ビデオ,bideo,video tape; VCR
一言,hitokoto,one word
人込み,hitogomi,crowd of people
等しい,hitoshii,equal
独り,hitori,"alone, unmarried"
一人一人,hitorihitori,"one by one, each"
批判,hihan,criticism
批評,hihyou,"criticism, review, commentary"
秘密,himitsu,"secret, secrecy"
微妙,bimyou,"delicate, subtle"
紐,himo,"string, cord"
冷やす,hiyasu,"to cool, to refrigerate"
費用,hiyou,"cost, expense"
表,hyou,"table (e.g., Tab 1), chart, list"
秒,byou,second (60th min)
評価,hyouka,"assessment, evaluation"
表現,hyougen,"expression, presentation"
表情,hyoujou,facial expression
平等,byoudou,"equality, impartiality, evenness"
評判,hyouban,"fame, reputation"
表面,hyoumen,"surface, outside, face"
広がる,hirogaru,"to spread (out), to extend, to stretch, to reach to, to get around"
広げる,hirogeru,"to spread, to extend, to expand, to enlarge"
広める,hiromeru,"to broaden, to propagate"
品,hin,"goods; taste, elegance"
瓶,bin,bottle
便,bin,"way, means; flight"
ピン,pin,pin
不,fu,"un(~), non(~), negative prefix"
不,bu,"un(~), non(~), negative prefix"
無,bu,"nothing, naught, nil, zero"
分,bu,"dividing, part"
不安,fuan,"anxiety, uneasiness"
風景,fuukei,scenery
夫婦,fuufu,"married couple, husband and wife"
笛,fue,"flute, whistle"
不可,fuka,"wrong, bad, impossible"
深まる,fukamaru,to deepen
武器,buki,"weapon, arms"
拭く,fuku,"to wipe, to dry"
服装,fukusou,"clothes, attire"
含む,fukumu,"to contain, to include"
含める,fukumeru,to include
袋,fukuro,"bag, sack"
不幸,fukou,"unhappiness, sorrow, misfortune"
節,fushi,"tune, tone, knob"
無事,buji,"safety, peace"
不思議,fushigi,"mystery, curiosity"
不自由,fujiyuu,"discomfort, disability, inconvenience"
夫人,fujin,"wife, Mrs, madam"
婦人,fujin,woman (same as 女性 (じょせい)、女の人 (おんなのひと))
不正,fusei,"injustice, unfairness"
防ぐ,fusegu,"to defend (against), to protect, to prevent"
不足,fusoku,"insufficiency, shortage"
舞台,butai,stage (theater)
双子,futago,"twins, a twin"
再び,futatabi,"again, once more, a second time"
普段,fudan,"in everyday situations, usually, ordinarily"
縁,fuchi,"edge, rim"
打つ,butsu,"to hit, to strike"
不通,futsuu,"blockade, interruption, stoppage"
物価,bukka,(commodity/consumer) prices
ぶつかる,butsukaru,"to strike, to collide with"
ぶつける,butsukeru,"to knock, to strike hard, to hit and attack"
物質,busshitsu,"material, substance"
物理,butsuri,physics
筆,fude,writing brush
ふと,futo,"suddenly, accidentally, incidentally"
部分,bubun,"portion, section, part"
不平,fuhei,"complaint, discontent, dissatisfaction"
不満,fuman,"dissatisfaction, discontent, complaints"
増やす,fuyasu,"to increase (v.t.), to add to"
殖やす,fuyasu,"to increase, to add to"
プラス,purasu,plus
プラスチック,purasuchikku,plastic
プラン,puran,plan
不利,furi,"disadvantage, drawback"
振る,furu,"to wave, to shake; to sprinkle; to cast (actor)"
震える,furueru,"to shiver, to shake, to quake"
ブレーキ,bureeki,a brake
触れる,fureru,"to touch, to feel, to violate"
プロ,puro,professional
分,bun,"dividing, part, segment"
文,bun,sentence
雰囲気,funiki,"atmosphere (e.g., musical), mood, ambiance"
分析,bunseki,analysis
文明,bummei,civilization
分野,bunya,"field, sphere"
塀,hei,"wall, fence"
平均,heikin,"equilibrium, balance, average"
平和,heiwa,peace
別に,betsuni,"(not) particularly, nothing"
減らす,herasu,"to decrease, to diminish"
減る,heru,"to decrease (in size or number), to diminish"
ベルト,beruto,Belt for western clothes
変化,henka,"change, variation, shift"
ペンキ,penki,paint
変更,henkou,"change, modification, alteration"
ベンチ,benchi,bench
弁当,bentou,box lunch
方,hou,side
法,hou,Act (law: the X Act)
棒,bou,"pole, rod, stick"
冒険,bouken,"risk, venture, adventure"
方向,houkou,"direction, course, way"
報告,houkoku,"report, information"
宝石,houseki,"gem, jewel"
包装,housou,"packing, wrapping"
豊富,houfu,"abundance, plenty"
方法,houhou,"method, means, technique"
方々,houbou,"here and there, everywhere"
訪問,houmon,"call, visit"
吠える,hoeru,"to bark, to howl"
ボーイ,booi,porter; boy
ボート,booto,rowing boat
ホーム,hoomu,platform; home
ボール,booru,ball; bowl
他,hoka,other (esp. places and things)
誇り,hokori,pride
埃,hokori,dust
保証,hoshou,"guarantee, assurance, warranty"
保存,hozon,"preservation, conservation"
歩道,hodou,walkway
仏,hotoke,Buddha
骨,hone,bone
炎,honoo,flame
頬,hoho,cheek (of face)
頬,hoo,cheek (of face)
ほぼ,hobo,"almost, roughly"
微笑む,hohoemu,to smile
堀,hori,"moat, canal"
濠,hori,moat
本当,honto,"truth, reality"
本人,honnin,the person himself
本物,hommono,genuine article
ぼんやり,bonyari,"dim, faint, vague"
間,ma,"space, room, pause"
まあ,maa,well (used when making a modest or hesitant statement)
マーケット,maaketto,market
マイク,maiku,mic
迷子,maigo,lost (stray) child
マイナス,mainasu,minus
任せる,makaseru,"to entrust to another, to leave to"
巻く,maku,"to wind, to coil, to roll"
蒔く,maku,to sow (seeds)
撒く,maku,"to scatter, to sprinkle, to sow"
幕,maku,"curtain, act (in play)"
負け,make,"defeat, loss"
孫,mago,grandchild
まさか,masaka,by no means
まさに,masani,"correctly, surely"
混ざる,mazaru,"to be mixed, to mingle with"
交ざる,mazaru,"to be mixed, to mingle with"
混じる,majiru,"to be mixed, to mingle with"
交じる,majiru,"to be mixed, to mingle with"
増す,masu,"to increase, to gain"
貧しい,mazushii,"poor, needy"
マスター,masutaa,"bar owner, master (e.g., arts, science)"
ますます,masumasu,"increasingly (same as もっと), more and more"
混ぜる,mazeru,"to mix, to stir"
交ぜる,mazeru,"to be mixed, to be blended with"
街,machi,"town; street, road"
間違い,machigai,mistake
松,matsu,pine tree
真っ赤,makka,"deep red, flushed (of face)"
全く,mattaku,"really, completely"
祭,matsuri,"festival, feast"
まとまる,matomaru,"to be collected, to be settled, to be in order"
まとめる,matomeru,"to put in order, to collect, to bring to a conclusion"
学ぶ,manabu,to learn; to study
真似,mane,"mimicry, imitation, behavior"
招く,maneku,to invite
まぶしい,mabushii,"dazzling, radiant"
柵,saku,"fence, paling"
裂ける,sakeru,"to split, to tear, to burst"
裁く,sabaku,to judge
酸化,sanka,oxidation
死,shi,"death, decease"
資格,shikaku,"qualifications, requirements, capabilities"
視覚,shikaku,"sense of sight, vision"
指揮,shiki,"command, direction"
磁気,jiki,magnetism
磁器,jiki,"porcelain, china"
自己,jiko,"self, oneself"
字体,jitai,"font, lettering"
辞退,jitai,refusal
視点,shiten,"opinion, point of view, visual point"
脂肪,shibou,"fat, grease"
志望,shibou,"wish, desire, ambition"
衆,shuu,"masses, people"
住,juu,"dwelling, living"
修飾,shuushoku,ornamentation; modification (gram)
私用,shiyou,"personal use, private business"
仕様,shiyou,"way, method, specification"
情,jou,"feelings, emotion, passion"
生涯,shougai,one's lifetime
上司,joushi,one's superior
正体,shoutai,"natural shape, one's true colors, true character"
照明,shoumei,illumination
女史,joshi,Ms.
助詞,joshi,"(gram) particle(s), postposition"
ショック,shokku,shock
進行,shinkou,advance
新興,shinkou,"rising, developing, emergent"
振興,shinkou,"promotion, encouragement"
申告,shinkoku,"report, statement"
真理,shinri,truth
水洗,suisen,flushing
ストレス,sutoresu,stress
擦る,suru,"to rub, to chafe"
正規,seiki,"regular, legitimate"
精巧,seikou,"elaborate, delicate, exquisite"
精算,seisan,"exact calculation, adjustment"
成年,seinen,"majority, adult age"
声明,seimei,"declaration, statement, proclamation"
姓名,seimei,full name
生理,seiri,"physiology, menses"
節,setsu,"when, if; section; clause"
膳,zen,"(small) table, tray, meal"
禅,zen,Zen (Buddhism)
選挙,senkyo,election
先行,senkou,"preceding, going first"
選考,senkou,"selection, screening"
相,sou,"aspect, phase, countenance"
沿う,sou,"to run along, to follow"
添う,sou,"to accompany, to comply with"
僧,sou,"monk, priest"
像,zou,"statue, image"
捜査,sousa,"search (esp. in criminal investigations, investigation)"
操縦,soujuu,"management, control, manipulation"
創造,souzou,creation
隊,tai,"party, troops"
退学,taigaku,dropping out of school
タイトル,taitoru,title
ダウン,daun,down
高まる,takamaru,to rise; to grow; to mount (v.i.)
断つ,tatsu,"to sever, to cut off"
盾,tate,shield
例え,tatoe,example; even though
チャイム,chaimu,chime
挑戦,chousen,"challenge, defiance"
治療,chiryou,medical treatment
対,tsui,"pair, couple, set"
接ぐ,tsugu,to join; to piece together; to set (bones); to graft (trees)
継ぐ,tsugu,to succeed (someone in a business or inheritance
摘む,tsumu,"to pluck, to pick, to trim"
露,tsuyu,dew
強まる,tsuyomaru,"to get strong, to gain strength"
強める,tsuyomeru,"to strengthen, to emphasize"
データ,deeta,data
デザイン,dezain,design
デザート,dezaato,dessert
転校,tenkou,change schools
伝言,dengon,verbal message
と,to,and
問う,tou,"to ask, to question"
棟,tou,ridge (of roof
倒産,tousan,"(corporate) bankruptcy, insolvency"
同士,doushi,"one another, companion, comrade"
同志,doushi,"same mind, comrade, kindred soul"
当然,touzen,obvious; natural
動揺,douyou,"disturbance, flutter shock"
説く,toku,"to explain, to advocate"
綴じる,tojiru,"to bind, to file"
供,tomo,"accompanying, attendant, companion, retinue"
並,nami,"medium (e.g., food serving size, quality, price, etc.), ordinary"
慣らす,narasu,to accustom
馴らす,narasu,"to domesticate, to tame"
難,nan,"difficulty, hardships, defect"
音,ne,"sound, note"
年鑑,nenkan,yearbook
脳,nou,"brain, memory"
臨む,nozomu,"to look out on, to face, to attend (function)"
肺,hai,lung
~敗,hai,"counter for loss, defeat"
映える,haeru,"to shine, to look attractive, to look pretty"
諮る,hakaru,"to consult with, to confer"
図る,hakaru,"to plot, to attempt, to devise, to design, to refer A to B"
生やす,hayasu,"to grow, to cultivate, to wear beard"
班,han,"group, party, section (mil)"
判,han,size (of paper or books)
版,han,edition
碑,hi,stone monument bearing an inscription
非行,hikou,"delinquency, misconduct"
票,hyou,"label, ballot, sign"
広まる,hiromaru,"to spread, to be propagated"
深める,fukameru,"to deepen, to heighten, to intensify"
福,fuku,good fortune
振り,furi,"style, manner"
経る,heru,"to pass, to elapse, to experience"
保護,hogo,"care, protection, shelter"
保障,hoshou,"guarantee, security, warranty"
補償,hoshou,"compensation, reparation"
ほっと,hotto,feel relieved
前もって,maemotte,"in advance, beforehand, previously"
膜,maku,"membrane, film"
マスコミ,masukomi,mass communication
股,mata,"thigh, crotch"
末,matsu,the end of
マッサージ,massaaji,massage
見掛ける,mikakeru,"to (happen to see), to notice, to catch sight of"
捲る,mekuru,"to turn over, to turn pages of a book"
メッセージ,messeeji,message
野党,yatou,opposition party
優,yuu,"superiority, high grade"
有機,yuuki,organic
世,yo,"world, society, generation"
良い,yoi,"good, nice"
予想,yosou,"expectation, anticipation, prediction"
弱まる,yowamaru,"to weaken, to be emaciated, to be dejected"
弱める,yowameru,to weaken
ラベル,raberu,label
ルール,ruuru,rule
枠,waku,"frame, slide"
